		AARF_NO_FADING	AARF_Rayleigh	CARA_NO_FADING	CARA_Rayleigh
Distance	5	20.4089862061	20.41315979	20.3938970947	20.3693371582
Distance	10	20.3805737305	20.3842657471	20.3911682129	19.1999310303
Distance	15	20.3524822998	16.5647943115	20.4054547119	13.5411932373
Distance	20	20.4123571777	13.363815918	20.4038494873	10.1997576904
Distance	25	20.4181359863	11.0616027832	20.3972680664	8.8374035645
Distance	30	15.237755127	9.4199395752	10.9704260254	7.7511480713
Distance	35	18.2371173096	8.3282263184	12.1812469482	6.9846533203
Distance	40	17.9891101074	7.0304022217	11.9879779053	6.2109350586
Distance	45	13.9983612061	5.7178100586	9.9156329346	5.3092803955
Distance	50	14.0946746826	4.6535461426	9.9912390137	4.4878869629
Distance	55	10.5729724121	3.5117498779	8.0755639648	3.7443469238
Distance	60	11.5009527588	2.4919506836	8.448939209	2.8487921143
Distance	65	11.4810479736	1.7445581055	8.4534338379	2.1953051758
Distance	70	10.1613928223	1.3329785156	7.7211303711	1.6325134277
Distance	75	8.3450811768	1.1082470703	6.5066174316	1.1419567871
Distance	80	8.4951696777	0.9106439209	6.5703448486	1.0125756836
Distance	85	8.2152185059	0.7851153564	6.3910412598	0.8421008301
Distance	90	5.0985144043	0.7026068115	4.5647772217	0.752208252
Distance	95	3.930713501	0.6517211914	3.7820697021	0.6618341064
Distance	100	3.973572998	0.5843017578	3.406607666	0.6090222168

